Slug,Name,Price,Title,LiveUrl,CoverImage
graphic-designer,"Graphic Designer",49,"[VIP PASS] Graphic Designer AI Masterclass & Execution Blueprint",https://guidr-empire.pages.dev/product/graphic-designer,images/graphic-designer.jpg
executive-assistant,"Executive Assistant",39,"[VIP PASS] Executive Assistant AI Masterclass & Execution Blueprint",https://guidr-empire.pages.dev/product/executive-assistant,images/executive-assistant.jpg
project-manager,"Project Manager",79,"[VIP PASS] Project Manager AI Masterclass & Execution Blueprint",https://guidr-empire.pages.dev/product/project-manager,images/project-manager.jpg
paralegal,"Paralegal",69,"[VIP PASS] Paralegal AI Masterclass & Execution Blueprint",https://guidr-empire.pages.dev/product/paralegal,images/paralegal.jpg
translator,"Translator",39,"[VIP PASS] Translator AI Masterclass & Execution Blueprint",https://guidr-empire.pages.dev/product/translator,images/translator.jpg
cybersecurity-analyst,"Cybersecurity Analyst",99,"[VIP PASS] Cybersecurity Analyst AI Masterclass & Execution Blueprint",https://guidr-empire.pages.dev/product/cybersecurity-analyst,images/cybersecurity-analyst.jpg
content-creator,"Content Creator",39,"[VIP PASS] Content Creator AI Masterclass & Execution Blueprint",https://guidr-empire.pages.dev/product/content-creator,images/content-creator.jpg
recruiter,"Talent Recruiter",59,"[VIP PASS] Talent Recruiter AI Masterclass & Execution Blueprint",https://guidr-empire.pages.dev/product/recruiter,images/recruiter.jpg
supply-chain-manager,"Supply Chain Manager",79,"[VIP PASS] Supply Chain Manager AI Masterclass & Execution Blueprint",https://guidr-empire.pages.dev/product/supply-chain-manager,images/supply-chain-manager.jpg
veterinarian,"Veterinarian",89,"[VIP PASS] Veterinarian AI Masterclass & Execution Blueprint",https://guidr-empire.pages.dev/product/veterinarian,images/veterinarian.jpg
physiotherapist,"Physiotherapist",49,"[VIP PASS] Physiotherapist AI Masterclass & Execution Blueprint",https://guidr-empire.pages.dev/product/physiotherapist,images/physiotherapist.jpg
fitness-coach,"Fitness Coach",39,"[VIP PASS] Fitness Coach AI Masterclass & Execution Blueprint",https://guidr-empire.pages.dev/product/fitness-coach,images/fitness-coach.jpg
tax-consultant,"Tax Consultant",99,"[VIP PASS] Tax Consultant AI Masterclass & Execution Blueprint",https://guidr-empire.pages.dev/product/tax-consultant,images/tax-consultant.jpg
mortgage-broker,"Mortgage Broker",69,"[VIP PASS] Mortgage Broker AI Masterclass & Execution Blueprint",https://guidr-empire.pages.dev/product/mortgage-broker,images/mortgage-broker.jpg
public-relations-specialist,"Public Relations Specialist",59,"[VIP PASS] Public Relations Specialist AI Masterclass & Execution Blueprint",https://guidr-empire.pages.dev/product/public-relations-specialist,images/public-relations-specialist.jpg
interior-designer,"Interior Designer",59,"[VIP PASS] Interior Designer AI Masterclass & Execution Blueprint",https://guidr-empire.pages.dev/product/interior-designer,images/interior-designer.jpg
audio-engineer,"Audio Engineer",49,"[VIP PASS] Audio Engineer AI Masterclass & Execution Blueprint",https://guidr-empire.pages.dev/product/audio-engineer,images/audio-engineer.jpg
video-editor,"Video Editor",59,"[VIP PASS] Video Editor AI Masterclass & Execution Blueprint",https://guidr-empire.pages.dev/product/video-editor,images/video-editor.jpg
business-analyst,"Business Analyst",79,"[VIP PASS] Business Analyst AI Masterclass & Execution Blueprint",https://guidr-empire.pages.dev/product/business-analyst,images/business-analyst.jpg
seo-specialist,"SEO Specialist",59,"[VIP PASS] SEO Specialist AI Masterclass & Execution Blueprint",https://guidr-empire.pages.dev/product/seo-specialist,images/seo-specialist.jpg
event-planner,"Event Planner",49,"[VIP PASS] Event Planner AI Masterclass & Execution Blueprint",https://guidr-empire.pages.dev/product/event-planner,images/event-planner.jpg
insurance-broker,"Insurance Broker",69,"[VIP PASS] Insurance Broker AI Masterclass & Execution Blueprint",https://guidr-empire.pages.dev/product/insurance-broker,images/insurance-broker.jpg
ux-designer,"UX Designer",69,"[VIP PASS] UX Designer AI Masterclass & Execution Blueprint",https://guidr-empire.pages.dev/product/ux-designer,images/ux-designer.jpg
civil-engineer,"Civil Engineer",79,"[VIP PASS] Civil Engineer AI Masterclass & Execution Blueprint",https://guidr-empire.pages.dev/product/civil-engineer,images/civil-engineer.jpg
pharmacist,"Pharmacist",89,"[VIP PASS] Pharmacist AI Masterclass & Execution Blueprint",https://guidr-empire.pages.dev/product/pharmacist,images/pharmacist.jpg
