Slug,Name,Price,Title,LiveUrl,CoverImage
social-media-manager,"Social Media Manager",49,"The AI Survival Guide for Social Media Managers: How to Automate Admin  Reclaim 20 Hours a Week  and Scale Client Revenue in 2026",https://guidr-empire.pages.dev/product/social-media-manager,images/social-media-manager.jpg
chef,"Chef",49,"The AI Survival Guide for Chefs: How to Automate Admin  Reclaim 20 Hours a Week  and Scale Client Revenue in 2026",https://guidr-empire.pages.dev/product/chef,images/chef.jpg
financial-analyst,"Financial Analyst",89,"The AI Survival Guide for Financial Analysts: How to Automate Admin  Reclaim 20 Hours a Week  and Scale Client Revenue in 2026",https://guidr-empire.pages.dev/product/financial-analyst,images/financial-analyst.jpg
software-engineer,"Software Engineer",99,"The AI Survival Guide for Software Engineers: How to Automate Admin  Reclaim 20 Hours a Week  and Scale Client Revenue in 2026",https://guidr-empire.pages.dev/product/software-engineer,images/software-engineer.jpg
data-scientist,"Data Scientist",99,"The AI Survival Guide for Data Scientists: How to Automate Admin  Reclaim 20 Hours a Week  and Scale Client Revenue in 2026",https://guidr-empire.pages.dev/product/data-scientist,images/data-scientist.jpg
hr-manager,"HR Manager",59,"The AI Survival Guide for HR Managers: How to Automate Admin  Reclaim 20 Hours a Week  and Scale Client Revenue in 2026",https://guidr-empire.pages.dev/product/hr-manager,images/hr-manager.jpg
architect,"Architect",89,"The AI Survival Guide for Architects: How to Automate Admin  Reclaim 20 Hours a Week  and Scale Client Revenue in 2026",https://guidr-empire.pages.dev/product/architect,images/architect.jpg
graphic-designer,"Graphic Designer",49,"The AI Survival Guide for Graphic Designers: How to Automate Admin  Reclaim 20 Hours a Week  and Scale Client Revenue in 2026",https://guidr-empire.pages.dev/product/graphic-designer,images/graphic-designer.jpg
executive-assistant,"Executive Assistant",39,"The AI Survival Guide for Executive Assistants: How to Automate Admin  Reclaim 20 Hours a Week  and Scale Client Revenue in 2026",https://guidr-empire.pages.dev/product/executive-assistant,images/executive-assistant.jpg
project-manager,"Project Manager",79,"The AI Survival Guide for Project Managers: How to Automate Admin  Reclaim 20 Hours a Week  and Scale Client Revenue in 2026",https://guidr-empire.pages.dev/product/project-manager,images/project-manager.jpg
paralegal,"Paralegal",69,"The AI Survival Guide for Paralegals: How to Automate Admin  Reclaim 20 Hours a Week  and Scale Client Revenue in 2026",https://guidr-empire.pages.dev/product/paralegal,images/paralegal.jpg
translator,"Translator",39,"The AI Survival Guide for Translators: How to Automate Admin  Reclaim 20 Hours a Week  and Scale Client Revenue in 2026",https://guidr-empire.pages.dev/product/translator,images/translator.jpg
cybersecurity-analyst,"Cybersecurity Analyst",99,"The AI Survival Guide for Cybersecurity Analysts: How to Automate Admin  Reclaim 20 Hours a Week  and Scale Client Revenue in 2026",https://guidr-empire.pages.dev/product/cybersecurity-analyst,images/cybersecurity-analyst.jpg
content-creator,"Content Creator",39,"The AI Survival Guide for Content Creators: How to Automate Admin  Reclaim 20 Hours a Week  and Scale Client Revenue in 2026",https://guidr-empire.pages.dev/product/content-creator,images/content-creator.jpg
recruiter,"Talent Recruiter",59,"The AI Survival Guide for Talent Recruiters: How to Automate Admin  Reclaim 20 Hours a Week  and Scale Client Revenue in 2026",https://guidr-empire.pages.dev/product/recruiter,images/recruiter.jpg
supply-chain-manager,"Supply Chain Manager",79,"The AI Survival Guide for Supply Chain Managers: How to Automate Admin  Reclaim 20 Hours a Week  and Scale Client Revenue in 2026",https://guidr-empire.pages.dev/product/supply-chain-manager,images/supply-chain-manager.jpg
veterinarian,"Veterinarian",89,"The AI Survival Guide for Veterinarians: How to Automate Admin  Reclaim 20 Hours a Week  and Scale Client Revenue in 2026",https://guidr-empire.pages.dev/product/veterinarian,images/veterinarian.jpg
physiotherapist,"Physiotherapist",49,"The AI Survival Guide for Physiotherapists: How to Automate Admin  Reclaim 20 Hours a Week  and Scale Client Revenue in 2026",https://guidr-empire.pages.dev/product/physiotherapist,images/physiotherapist.jpg
fitness-coach,"Fitness Coach",39,"The AI Survival Guide for Fitness Coachs: How to Automate Admin  Reclaim 20 Hours a Week  and Scale Client Revenue in 2026",https://guidr-empire.pages.dev/product/fitness-coach,images/fitness-coach.jpg
tax-consultant,"Tax Consultant",99,"The AI Survival Guide for Tax Consultants: How to Automate Admin  Reclaim 20 Hours a Week  and Scale Client Revenue in 2026",https://guidr-empire.pages.dev/product/tax-consultant,images/tax-consultant.jpg
mortgage-broker,"Mortgage Broker",69,"The AI Survival Guide for Mortgage Brokers: How to Automate Admin  Reclaim 20 Hours a Week  and Scale Client Revenue in 2026",https://guidr-empire.pages.dev/product/mortgage-broker,images/mortgage-broker.jpg
public-relations-specialist,"Public Relations Specialist",59,"The AI Survival Guide for Public Relations Specialists: How to Automate Admin  Reclaim 20 Hours a Week  and Scale Client Revenue in 2026",https://guidr-empire.pages.dev/product/public-relations-specialist,images/public-relations-specialist.jpg
interior-designer,"Interior Designer",59,"The AI Survival Guide for Interior Designers: How to Automate Admin  Reclaim 20 Hours a Week  and Scale Client Revenue in 2026",https://guidr-empire.pages.dev/product/interior-designer,images/interior-designer.jpg
audio-engineer,"Audio Engineer",49,"The AI Survival Guide for Audio Engineers: How to Automate Admin  Reclaim 20 Hours a Week  and Scale Client Revenue in 2026",https://guidr-empire.pages.dev/product/audio-engineer,images/audio-engineer.jpg
video-editor,"Video Editor",59,"The AI Survival Guide for Video Editors: How to Automate Admin  Reclaim 20 Hours a Week  and Scale Client Revenue in 2026",https://guidr-empire.pages.dev/product/video-editor,images/video-editor.jpg
business-analyst,"Business Analyst",79,"The AI Survival Guide for Business Analysts: How to Automate Admin  Reclaim 20 Hours a Week  and Scale Client Revenue in 2026",https://guidr-empire.pages.dev/product/business-analyst,images/business-analyst.jpg
seo-specialist,"SEO Specialist",59,"The AI Survival Guide for SEO Specialists: How to Automate Admin  Reclaim 20 Hours a Week  and Scale Client Revenue in 2026",https://guidr-empire.pages.dev/product/seo-specialist,images/seo-specialist.jpg
event-planner,"Event Planner",49,"The AI Survival Guide for Event Planners: How to Automate Admin  Reclaim 20 Hours a Week  and Scale Client Revenue in 2026",https://guidr-empire.pages.dev/product/event-planner,images/event-planner.jpg
insurance-broker,"Insurance Broker",69,"The AI Survival Guide for Insurance Brokers: How to Automate Admin  Reclaim 20 Hours a Week  and Scale Client Revenue in 2026",https://guidr-empire.pages.dev/product/insurance-broker,images/insurance-broker.jpg
ux-designer,"UX Designer",69,"The AI Survival Guide for UX Designers: How to Automate Admin  Reclaim 20 Hours a Week  and Scale Client Revenue in 2026",https://guidr-empire.pages.dev/product/ux-designer,images/ux-designer.jpg
civil-engineer,"Civil Engineer",79,"The AI Survival Guide for Civil Engineers: How to Automate Admin  Reclaim 20 Hours a Week  and Scale Client Revenue in 2026",https://guidr-empire.pages.dev/product/civil-engineer,images/civil-engineer.jpg
pharmacist,"Pharmacist",89,"The AI Survival Guide for Pharmacists: How to Automate Admin  Reclaim 20 Hours a Week  and Scale Client Revenue in 2026",https://guidr-empire.pages.dev/product/pharmacist,images/pharmacist.jpg
