Slug,Name,Price,Title,LiveUrl,CoverImage
marketing-manager,"Marketing Manager",69,"Marketing Manager AI Survival Guide — 2026 Edition",https://guidr-empire.pages.dev/product/marketing-manager,images/marketing-manager.jpg
virtual-assistant,"Virtual Assistant",29,"Virtual Assistant AI Survival Guide — 2026 Edition",https://guidr-empire.pages.dev/product/virtual-assistant,images/virtual-assistant.jpg
copywriter,"Copywriter",49,"Copywriter AI Survival Guide — 2026 Edition",https://guidr-empire.pages.dev/product/copywriter,images/copywriter.jpg
social-media-manager,"Social Media Manager",49,"Social Media Manager AI Survival Guide — 2026 Edition",https://guidr-empire.pages.dev/product/social-media-manager,images/social-media-manager.jpg
chef,"Chef",49,"Chef AI Survival Guide — 2026 Edition",https://guidr-empire.pages.dev/product/chef,images/chef.jpg
financial-analyst,"Financial Analyst",89,"Financial Analyst AI Survival Guide — 2026 Edition",https://guidr-empire.pages.dev/product/financial-analyst,images/financial-analyst.jpg
software-engineer,"Software Engineer",99,"Software Engineer AI Survival Guide — 2026 Edition",https://guidr-empire.pages.dev/product/software-engineer,images/software-engineer.jpg
data-scientist,"Data Scientist",99,"Data Scientist AI Survival Guide — 2026 Edition",https://guidr-empire.pages.dev/product/data-scientist,images/data-scientist.jpg
hr-manager,"HR Manager",59,"HR Manager AI Survival Guide — 2026 Edition",https://guidr-empire.pages.dev/product/hr-manager,images/hr-manager.jpg
architect,"Architect",89,"Architect AI Survival Guide — 2026 Edition",https://guidr-empire.pages.dev/product/architect,images/architect.jpg
graphic-designer,"Graphic Designer",49,"Graphic Designer AI Survival Guide — 2026 Edition",https://guidr-empire.pages.dev/product/graphic-designer,images/graphic-designer.jpg
executive-assistant,"Executive Assistant",39,"Executive Assistant AI Survival Guide — 2026 Edition",https://guidr-empire.pages.dev/product/executive-assistant,images/executive-assistant.jpg
project-manager,"Project Manager",79,"Project Manager AI Survival Guide — 2026 Edition",https://guidr-empire.pages.dev/product/project-manager,images/project-manager.jpg
paralegal,"Paralegal",69,"Paralegal AI Survival Guide — 2026 Edition",https://guidr-empire.pages.dev/product/paralegal,images/paralegal.jpg
translator,"Translator",39,"Translator AI Survival Guide — 2026 Edition",https://guidr-empire.pages.dev/product/translator,images/translator.jpg
cybersecurity-analyst,"Cybersecurity Analyst",99,"Cybersecurity Analyst AI Survival Guide — 2026 Edition",https://guidr-empire.pages.dev/product/cybersecurity-analyst,images/cybersecurity-analyst.jpg
content-creator,"Content Creator",39,"Content Creator AI Survival Guide — 2026 Edition",https://guidr-empire.pages.dev/product/content-creator,images/content-creator.jpg
recruiter,"Talent Recruiter",59,"Talent Recruiter AI Survival Guide — 2026 Edition",https://guidr-empire.pages.dev/product/recruiter,images/recruiter.jpg
supply-chain-manager,"Supply Chain Manager",79,"Supply Chain Manager AI Survival Guide — 2026 Edition",https://guidr-empire.pages.dev/product/supply-chain-manager,images/supply-chain-manager.jpg
veterinarian,"Veterinarian",89,"Veterinarian AI Survival Guide — 2026 Edition",https://guidr-empire.pages.dev/product/veterinarian,images/veterinarian.jpg
physiotherapist,"Physiotherapist",49,"Physiotherapist AI Survival Guide — 2026 Edition",https://guidr-empire.pages.dev/product/physiotherapist,images/physiotherapist.jpg
fitness-coach,"Fitness Coach",39,"Fitness Coach AI Survival Guide — 2026 Edition",https://guidr-empire.pages.dev/product/fitness-coach,images/fitness-coach.jpg
tax-consultant,"Tax Consultant",99,"Tax Consultant AI Survival Guide — 2026 Edition",https://guidr-empire.pages.dev/product/tax-consultant,images/tax-consultant.jpg
mortgage-broker,"Mortgage Broker",69,"Mortgage Broker AI Survival Guide — 2026 Edition",https://guidr-empire.pages.dev/product/mortgage-broker,images/mortgage-broker.jpg
public-relations-specialist,"Public Relations Specialist",59,"Public Relations Specialist AI Survival Guide — 2026 Edition",https://guidr-empire.pages.dev/product/public-relations-specialist,images/public-relations-specialist.jpg
interior-designer,"Interior Designer",59,"Interior Designer AI Survival Guide — 2026 Edition",https://guidr-empire.pages.dev/product/interior-designer,images/interior-designer.jpg
audio-engineer,"Audio Engineer",49,"Audio Engineer AI Survival Guide — 2026 Edition",https://guidr-empire.pages.dev/product/audio-engineer,images/audio-engineer.jpg
video-editor,"Video Editor",59,"Video Editor AI Survival Guide — 2026 Edition",https://guidr-empire.pages.dev/product/video-editor,images/video-editor.jpg
business-analyst,"Business Analyst",79,"Business Analyst AI Survival Guide — 2026 Edition",https://guidr-empire.pages.dev/product/business-analyst,images/business-analyst.jpg
seo-specialist,"SEO Specialist",59,"SEO Specialist AI Survival Guide — 2026 Edition",https://guidr-empire.pages.dev/product/seo-specialist,images/seo-specialist.jpg
event-planner,"Event Planner",49,"Event Planner AI Survival Guide — 2026 Edition",https://guidr-empire.pages.dev/product/event-planner,images/event-planner.jpg
insurance-broker,"Insurance Broker",69,"Insurance Broker AI Survival Guide — 2026 Edition",https://guidr-empire.pages.dev/product/insurance-broker,images/insurance-broker.jpg
ux-designer,"UX Designer",69,"UX Designer AI Survival Guide — 2026 Edition",https://guidr-empire.pages.dev/product/ux-designer,images/ux-designer.jpg
civil-engineer,"Civil Engineer",79,"Civil Engineer AI Survival Guide — 2026 Edition",https://guidr-empire.pages.dev/product/civil-engineer,images/civil-engineer.jpg
pharmacist,"Pharmacist",89,"Pharmacist AI Survival Guide — 2026 Edition",https://guidr-empire.pages.dev/product/pharmacist,images/pharmacist.jpg
